latitude,first_bound,second_bound,left_zone,mid_zone,right_zone
40.06,-87.5465,-84.817,2,3,4
40.1,-87.5465,-84.817,2,3,4
40.14,-87.5465,-84.817,2,3,4
40.18,-87.5465,-84.817,2,3,4
40.22,-87.5465,-84.817,2,3,4
40.26,-87.5465,-84.817,2,3,4
40.3,-87.5465,-84.817,2,3,4
40.34,-87.5465,-84.817,2,3,4
40.38,-87.5465,-84.817,2,3,4
40.42,-87.5465,-84.817,2,3,4
40.46,-87.5465,-84.817,2,3,4
40.5,-87.5465,-84.817,2,3,4
40.54,-87.5465,-84.817,2,3,4
40.58,-87.5465,-84.817,2,3,4
40.62,-87.5465,-84.817,2,3,4
40.66,-87.5465,-84.817,2,3,4
40.7,-87.5465,-84.817,2,3,4
40.74,-87.5465,-84.817,2,3,4
40.78,-87.5465,-84.817,2,3,4
40.82,-87.5465,-84.817,2,3,4
40.86,-87.5465,-84.817,2,3,4
40.9,-87.5465,-84.817,2,3,4
40.94,-87.5465,-84.817,2,3,4
40.98,-87.5465,-84.817,2,3,4
41.02,-87.5465,-84.817,2,3,4
41.06,-87.5465,-84.817,2,3,4
41.1,-87.5465,-84.817,2,3,4
41.14,-87.5465,-84.817,2,3,4
41.18,-87.5465,-84.817,2,3,4
41.22,-87.5465,-84.817,2,3,4
41.26,-87.5465,-84.817,2,3,4
41.3,-87.5465,-84.817,2,3,4
41.34,-87.5465,-84.817,2,3,4
41.38,-87.5465,-84.817,2,3,4
41.42,-87.5465,-84.817,2,3,4
41.46,-87.5465,-84.817,2,3,4
41.5,-87.5465,-84.817,2,3,4
41.54,-87.5465,-84.817,2,3,4
41.58,-87.5465,-84.817,2,3,4
41.62,-87.5465,-84.817,2,3,4
41.66,-87.5465,-84.817,2,3,4
41.7,-87.5465,-84.817,2,3,4
41.74,-87.5465,-84.817,2,3,4
41.78,-87.561,-86.8152,2,0,5
41.82,-87.5755,-86.7284,2,0,5
41.86,-87.6044,-86.6849,2,0,5
41.9,-87.6117,-86.6125,2,0,5
41.94,-87.6261,-86.6053,2,0,5
41.98,-87.6479,-86.5691,2,0,5
42.02,-87.6623,-86.5546,2,0,5
42.06,-87.6696,-86.5184,2,0,5
42.1,-87.6985,-86.5256,2,0,5
42.14,-87.7347,-86.4750 ,2,0,5
42.18,-87.7709,-86.4315,2,0,5
42.22,-87.7927,-86.3808,2,0,5
42.26,-87.8071,-86.3664,2,0,5
42.3,-87.8361,-86.3302,2,0,5
42.34,-87.8361,-86.3084,2,0,5
42.38,-87.8071,-86.3157,2,0,5
42.42,-87.8144,-86.2867,2,0,5
42.46,-87.7999,-86.2795,2,0,5
42.5,-87.8071,-86.2722,2,0,5
42.54,-87.8071,-86.2505,1,0,5
42.58,-87.8144,-86.2360 ,1,0,5
42.62,-87.8216,-86.2433,1,0,5
42.66,-87.8071,-86.2433,1,0,5
42.7,-87.7782,-86.2143,1,0,5
42.74,-87.7709,-86.2143,1,0,5
42.78,-87.7565,-86.2215,1,0,5
42.82,-87.7420 ,-86.2288,1,0,5
42.86,-87.8289,-86.2143,1,0,5
42.9,-87.8433,-86.2288,1,0,5
42.94,-87.8433,-86.2433,1,0,5
42.98,-87.8361,-86.2433,1,0,5
43.02,-87.8795,-86.2505,1,0,5
43.06,-87.8723,-86.2650 ,1,0,5
43.1,-87.8578,-86.2795,1,0,5
43.14,-87.8868,-86.2940 ,1,0,5
43.18,-87.0723,-86.3229,1,0,5
43.22,-87.8940 ,-86.3519,1,0,5
43.26,-87.9013,-86.3736,1,0,5
43.3,-87.8868,-86.4026,1,0,5
43.34,-87.8868,-86.4243,1,0,5
43.38,-87.8651,-86.4532,1,0,5
43.42,-87.8361,-86.4750 ,1,0,5
43.46,-87.8071,-86.4750 ,1,0,5
43.5,-87.7927,-86.4894,1,0,5
43.54,-87.7854,-86.5112,1,0,5
43.58,-87.7709,-86.5329,1,0,5
43.62,-87.7492,-86.5474,1,0,5
43.66,-87.7130 ,-86.5546,1,0,5
43.7,-87.6985,-86.5401,1,0,5
43.74,-87.6985,-86.4967,1,0,5
43.78,-87.6841,-86.4460 ,1,0,5
43.82,-87.7130 ,-86.4460 ,1,0,5
43.86,-87.7203,-86.4605,1,0,5
43.9,-87.7275,-86.4750 ,1,0,5
43.94,-87.7130 ,-86.4677,1,0,5
43.98,-87.6913,-86.4894,1,0,5
44.02,-87.6841,-86.5184,1,0,5
44.06,-87.6551,-86.5329,1,0,5
44.1,-87.6479,-86.5112,1,0,5
44.14,-87.5610 ,-86.4460 ,1,0,5
44.18,-87.5103,-86.4170 ,1,0,5
44.22,-87.5031,-86.3881,1,0,5
44.26,-87.5103,-86.3519,1,0,5
44.3,-87.5248,-86.3302,1,0,5
44.34,-87.5393,-86.3012,1,0,5
44.38,-87.5248,-86.2722,1,0,5
44.42,-87.5103,-86.2577,1,0,5
44.46,-87.4958,-86.2650 ,1,0,5
44.5,-87.4813,-86.2577,1,0,5
44.54,-87.4596,-86.2360 ,1,0,5
44.58,-87.4524,-86.2360 ,1,0,5
44.62,-87.4162,-86.2577,1,0,5
44.66,-87.3872,-86.2722,1,0,5
44.7,-87.3583,-86.2650 ,1,0,5
44.74,-87.3293,-86.1781,1,0,5
44.78,-87.3221,-86.0985,1,0,5
44.82,-87.2859,-86.0767,1,0,5
44.86,-87.2279,-86.0912,1,0,5
44.9,-87.2062,-86.0840 ,1,0,5
44.94,-87.1700 ,-85.9609,1,0,5
44.98,-87.1700 ,-85.8016,1,0,5
45.02,-87.1266 ,-85.7799,1,0,5
45.06,-87.1193,-85.7365,1,0,5
45.1,-87.0614,-85.6930 ,6,0,6
45.14,-87.0469,-85.6785,6,0,6
45.18,-87.0397,-85.5989,6,0,6
45.22,-87.0035,-85.5917,6,0,6
45.26,-86.9673,-85.4758,6,0,6
45.3,-86.9311,-85.3600 ,6,0,6
45.34,-86.8876,-85.2586,6,0,6
45.38,-86.8587,-85.1790 ,6,0,6
45.42,-86.8370 ,-84.9328,6,0,6
45.46,-86.8080 ,-85.0776,6,0,6
45.5,-86.7790 ,-85.1066,6,0,6
45.54,-86.7718,-85.1210 ,6,0,6
45.58,-86.6777,-85.1283,6,0,6
45.62,-86.6415,-85.121,6,0,6
45.66,-86.6270 ,-85.0414,6,0,6
45.7,-86.5836,-84.9835,6,0,6
45.74,-86.5401,-84.9545,6,0,6
45.78,-86.4170 ,-85.0921,6,0,6
45.82,-86.3664,-84.7446,6,0,6
45.86,-86.3519,-84.7952,6,0,6
45.9,-86.3157,-84.8604,6,0,6
45.94,-86.2722,-84.9256,6,0,6
45.98,-86.1781,-84.9473,6,0,6
46.02,-86.1781,-84.9473,6,6,6
46.06,-86.1781,-84.9473,6,6,6
46.1,-86.1781,-84.9473,6,6,6
46.14,-86.1781,-84.9473,6,6,6
46.18,-86.1781,-84.9473,6,6,6
46.22,-86.1781,-84.9473,6,6,6
46.26,-86.1781,-84.9473,6,6,6
46.3,-86.1781,-84.9473,6,6,6
46.34,-86.1781,-84.9473,6,6,6
46.38,-86.1781,-84.9473,6,6,6
46.42,-86.1781,-84.9473,6,6,6
46.46,-86.1781,-84.9473,6,6,6
46.5,-86.1781,-84.9473,6,6,6
46.54,-86.1781,-84.9473,6,6,6
46.58,-86.1781,-84.9473,6,6,6
46.62,-86.1781,-84.9473,6,6,6
46.66,-86.1781,-84.9473,6,6,6
46.7,-86.1781,-84.9473,6,6,6
46.74,-86.1781,-84.9473,6,6,6
46.78,-86.1781,-84.9473,6,6,6
46.82,-86.1781,-84.9473,6,6,6
46.86,-86.1781,-84.9473,6,6,6
46.9,-86.1781,-84.9473,6,6,6
46.94,-86.1781,-84.9473,6,6,6
46.98,-86.1781,-84.9473,6,6,6
47.02,-86.1781,-84.9473,6,6,6
47.06,-86.1781,-84.9473,6,6,6
47.1,-86.1781,-84.9473,6,6,6
47.14,-86.1781,-84.9473,6,6,6
47.18,-86.1781,-84.9473,6,6,6
47.22,-86.1781,-84.9473,6,6,6
47.26,-86.1781,-84.9473,6,6,6
47.3,-86.1781,-84.9473,6,6,6
47.34,-86.1781,-84.9473,6,6,6
47.38,-86.1781,-84.9473,6,6,6
47.42,-86.1781,-84.9473,6,6,6
47.46,-86.1781,-84.9473,6,6,6
47.5,-86.1781,-84.9473,6,6,6
47.54,-86.1781,-84.9473,6,6,6
47.58,-86.1781,-84.9473,6,6,6
47.62,-86.1781,-84.9473,6,6,6
47.66,-86.1781,-84.9473,6,6,6
47.7,-86.1781,-84.9473,6,6,6
47.74,-86.1781,-84.9473,6,6,6
47.78,-86.1781,-84.9473,6,6,6
47.82,-86.1781,-84.9473,6,6,6
47.86,-86.1781,-84.9473,6,6,6
47.9,-86.1781,-84.9473,6,6,6
47.94,-86.1781,-84.9473,6,6,6
