 


Sub-Daily Data Between Two Dates
CHICAGO OHARE INTL AP (IL)
94846
Lat/Lon/Elev: 41.9950/-87.9336/662 ft

Date,Time,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),
2012-10-01,00:51,51,82,46,3,10,m,30000,m,m,10,988.80,1013.10,1013.20,0.00,NC,NC,
2012-10-01,01:51,50,89,47,0,0,m,30000,m,m,10,988.10,1012.50,1012.50,0.00,NC,NC,
2012-10-01,02:51,50,89,47,0,0,m,1000,30000,m,10,988.10,1012.40,1012.50,0.00,NC,NC,
2012-10-01,03:51,48,96,47,0,0,m,2400,30000,m,10,987.80,1012.20,1012.20,0.00,NC,NC,
2012-10-01,04:51,51,89,48,5,350,m,30000,m,m,10,988.10,1012.40,1012.50,0.00,NC,NC,
2012-10-01,05:51,50,92,48,0,0,m,30000,m,m,10,988.10,1012.60,1012.50,0.00,NC,NC,
2012-10-01,06:51,51,92,49,0,0,m,25000,m,m,10,988.80,1013.20,1013.20,0.00,NC,NC,
2012-10-01,07:51,57,68,47,3,170,m,25000,m,m,10,988.80,1013.20,1013.20,0.00,NC,NC,
2012-10-01,08:51,60,59,46,6,170,m,25000,m,m,10,988.80,1013.20,1013.20,0.00,NC,NC,
2012-10-01,09:51,62,51,44,0,0,m,25000,m,m,10,988.10,1012.50,1012.50,0.00,NC,NC,
2012-10-01,10:51,64,44,42,6,80,m,25000,m,m,10,987.80,1012.10,1012.20,0.00,NC,NC,
2012-10-01,11:51,65,43,42,7,80,m,25000,m,m,10,987.10,1011.50,1011.50,0.00,NC,NC,
2012-10-01,12:51,65,43,42,8,80,m,24000,m,m,10,986.50,1010.90,1010.80,0.00,NC,NC,
2012-10-01,13:51,64,44,42,10,70,m,23000,m,m,10,986.20,1010.60,1010.50,0.00,NC,NC,
2012-10-01,14:51,63,48,43,10,90,m,20000,25000,m,10,986.20,1010.40,1010.50,0.00,NC,NC,
2012-10-01,15:51,62,55,46,10,90,m,20000,24000,m,10,985.80,1010.10,1010.20,0.00,NC,NC,
2012-10-01,16:51,61,59,47,9,60,m,21000,25000,m,10,986.20,1010.50,1010.50,0.00,NC,NC,
2012-10-01,17:51,60,61,47,7,50,m,21000,25000,m,10,985.80,1010.20,1010.20,0.00,NC,NC,
